text,sentiment
"Pak Prabowo orang baik jangan ada yang recoki..semoga selalu sehat walafiat amanah, tegas berani melibas koruptor/KKN tanpa tebang pilih",positive
Presiden RI Bapak Prabowo da n  Wakil Presiden RI Bapak Gibran Tuhan Memberkati Dalam Tugas Negara Selalu Terbaik,positive
"Tuhan memberkati bpk. Prabowo dalam kepemimpinannya, diberikan hikmat dan kebijaksanaan dalam memimpin bangsa Indonesia untuk benar-benar MERDEKA lahir batin. AMIN!",positive
"sya cuma bisa brdoa pak,smga bapa selalu sehat dan di panjangkan umurnya agar bisa berbuat baik trus dan negara kita maju dan semakin sukses,,amin yallah",positive
Perlindungan TUHAN SEMPURNA ATAS BPK.PRESIDEN PRABOWO And GOD BLESS YOU,positive
Akhirnya mimpi saya jadi kenyataan..selamat untuk BPK presiden Prabowo. Pemimpin yang tegas.Semoga Allah SWT selalu melindungi BPK.,positive
"Amin3 SMG Indonesia maju,smg bpk Prabowo pnjg umur seht sll",positive
"Ya alloh,  semoga President ku  bpk Prabowo,engkau beri kshtn pnjng umur sy bangga puny President sprti bpk,yg bner memikirkn nasib rakyat kemajuan bangsa Indonesia, memliki niat yg tulus ingin memakmur memajukn bangsa Indonesia, semoga beliau bs mnjlnkn tugasny mnjdi pemimpin Rakyat pemimpin bangsa yg AMANAH AMIN, TTEP SEMNGAT BPK PRABOWO,,SY SLLU MENANTIKN PERUBHN DR BANGSA INDONESIA, SEMOGA KEADILAN BS DITEGAKKN DI NEGRI INI KORUPSI HRUS DIBERANTAS AGR NEGERI RAKYAT BS HIDUP MAKMUR SEJAHTERA",positive
MAJU TERUSS DAN SEHAT SELALU PRESIDEN KU PAK PRABOWO,positive
Semoga Allah berikan kemudahan kepada presiden Prabowo mewujudkan rencana mulianya mensejahterakan rakyat... sesuai Harapan Rakyat  merindukan pemimpin yg dirahmati dan dimuliakan..,positive
"Masya Allah.... sungguh luar biasa cintamu kepada bangsamu. Saya sangat bangga mempunyai pemimpin seperti Bapak Prabowo. Sehat selalu pak Presiden... Semoga dibawah kepemimipinanmu, bangsa ini menjadi bangsa yang lebih bermartabat dan rakyatnya hidup makmur.",positive
"Slamat Bapak Prabowo sehat slalu  pasti indonesia jaya ,merdeka",positive
mantapp pak Prabowo.. pastikan bantuan² smpe ke org yg tepat,positive
Selamat tugas pak..kata putriku di Usu..Prabowo ya ma..jgn yg lain..!!!,positive
"Trik strategi dari bapak presiden pak Prabowo ini memang luar biasa...semoga Indonesia semakin maju, menuju Indonesia keemasan",positive
"Kita doakan pak Prabowo sehat, panjang umur, jadi bisa memimpin negara ini dengan lancar semoga sampe dua periode, bravo pak presiden",positive
Presiden yg sangat pantas mempimpin bangsa ini.. Jiwa darah dan raga nya sudah menyatu dengan perjuangan dan kemerdekaan bangsa indonesia.. Semoga tak tergantikan sampai Indonesia kembali menjadi makmur.. Gemah ripah loh jinawi,positive
Bertahap dan pasti Insyaalloh ada hasil Visi Misi Mr Presiden,positive
Btul pa prabowo saling mengisi kekurangan masing pejabaynya sgarfaham hidup bernegara dan rakyatnyamengharapkan kerja yg nyata dgn amanah }ejabatnya,positive
Kami ngk salah milih bpk prabowo gbran perlu di acungin jempol,positive
Selamat buat pagrib telah menjadi orang nmr 1 mdh2an amanah dan sukses selalu merdeka bpk kami bangga dgn bpk prabowo,positive
"Subhanallah,bersyukur sekali Punya presiden seperti bapak, dari kata kata beliau berbicara beliau sangat tulus dan ikhlas untuk kesejahteraan  rakyat bangsa Indonesia, sy hanya bisa bantu doa pakAgar bapak selalu di beri kesehatan ,umur yang panjang agar bisa menjalankan tugas  dan amanah Rakyat, sebagai Presiden Republik Indonesia",positive
Alfatihan wabil ksusus pak Prabowo subianto,positive
"Prabowo Oke, Pupupapa NO",positive
Krennnnnnnn Presidenku,positive
Pak prabowa mnjadi presiden adala pemberian Tuhan  untuk negara kita indonesia  karna  bapk presiden  kita  prabowo subianto sangat sangat Cinta   Rakyat INDONESIA,positive
"SY BANGGA SAMA BAPAK PRABOWO ,, SY RAKYAT KECIL PUNYA INTING , INDONESIA  LEBIH BAGUS .",positive
"Program bapak prabowo sangat bagus sekali Indonesia menjadi lumbung pangan dunia,bapak harus perhatikan para petani se Indonesia tidak ada lgi pengangguran lgi, pengangguran hrus siap jdi petani utk mendukung program bpk presiden kita Indonesia pasti makmur",positive
"Trik2 perediden perabowo  sangat mendidik dan memberi pandangan yang sama sama bagi para pembantunya menjadi Mentri yang berwawasan luas dalam menjalankan roda pemerintahan agar saling mendukung demi kemakmura  rakyat Indonesia , teori ini sangat jenius  perabowo ITS the best perabowo gitu loh.",positive
"Coba orang kaya pajak nya di naikan, buat rakyat kecil, buat lapangan kerja.",positive
saya nangis pak denger anda ngomong. nanti kalo anda pimpin dengan baik tolong pengganti prabowo juga tegas kayak anda.,positive
"Kalau Orang yg  paling ihklas untuk Rakyat Indonesia, itu*Prabowo* By Gusdur",positive
Menyala presidenku,positive
President hebat,positive
Ini yg bikin aku pilih pak Prabowo 2x . Aku yakin beliau akan pro rakyat. Cuma kemarin ini karna ada orangnya Istana lama bikin aku beralih ke Pak Anis karna yakin beliaupun orang baik. Takdir memilih bapak tapi tak menghilangkan rasa hormat saya kepada beliau. Selamat bekerja semoga sukses sampai diakhir jabatan doa kami untukmu.,positive
Cinta Prabowo cinta Indonesia like,positive
Semoga niat baik bp Prabowo diridloi Allaah swt. Tapi mungki banyak tantangan,positive
Sudah beberapa x pak Prabowo mencalon kan jadi presiden saya tetap nyoblos pak Prabowo alkmdllh saat ini pak Prabowo sudah jadi presiden moga amanah dan selalu mengabdi pada rakyat nya amin,positive
"orang kalo emg trah dari garis keturunan kaya raya, berpendidikan dan intelektual sangat beda ya. ga gampang gumunan. keren presidenku.",positive
"Doa kami untuk Pak Prabowo, begitu dramatis dan penuh perjuangan, konsistensi serta dedikasi untuk bangsa dan negeri tercinta ini, semoga apa yang bapa cita citakan untuk bangsa dan negara senantiasa diberikan kelancaran, sukses buat Pak Prabowo. Kami bangga dengan Bapak.",positive
"Ya Allah.. tolong berikan penjagaan terbaik MU untuk Presiden kami Bapak Prabowo Subianto,,beserta seluruh jajaran pemerintahan Merah Putih,,Aamiin",positive
Mantap presid3n ku...,positive
Smoga...sehat.....selalu..PRESIDEN....q...,positive
Hidup bpk prabowo baik dn bijak semoga ada dijln aalloh selamanya Aammiinn .hidup prabowo maju indonesiaku jaya negaraku dipimpin oleh bpk prabowo,positive
Alhamdulillah tiga kali bpk capres tetp pilihan sy dn kluarga sy agr bpk mnjdi presiden krn bpk tegas dan prjlnn bpk smpai mnjdi presiden luar biasa sjrahxa sy menangis klu liht prjln hidup bpk alhamdulilah skrg bpk sudh menjadi presiden kami yg sngat tepat brjiwa sprti bung Karno dn Soeharto  anak rantau Lombok NTB mlysia,positive
Ya allah sejahtralah indonesia di pimpin oleh oleh beliau,positive
Cara bicara pa Prabowo itu efesien efektif tapi kena pada sasaran! Ciri orang cerdas...!,positive
Luar biasa cita-cita Pak Prabowo.. selamat bekerja untuk Bangsa semoga terarah dan Indpnesia Makin maju,positive
Subhanallah telingaku pokus mendengar sholawatan,positive
Smg Cita2 mulia bp Presiden  kits  bp Prabieo psnj umur sht2 sllu bsa mewujutkan kemakmuran bangsa dan rakyat.adil makmur  tentrem ayem gemah ripah loh jinaweAamiin,positive
Mantap Bapak Presiden qu semoga sehat selalu untuk memajukan bangsa kita Indonesia,positive
"Sy pendukung berat bp prabowo meskipun slalu gagal.mungkin Allah blm menentukn.tapi Alhamdulillah thn 2024 bp prabowo dipercaya oleh Allah swt menjadi orang no 1 dinegri ini.knp sy mendukung bp .tegas,cerdas,benar,jujur nasionalis.sehat selalu pa semoga Allah melindungii bp dlm menjalankan tugas2.sampai 2035 amiiin",positive
"SELAMAT  SUKSES Pak PRABOWO dan Pak GIBRAN , Semoga  NANTI Bakal Lancar Menuju INDNESIA EMAS, Selanjutnya.",positive
SMG Pak persiden PrabowoTegas berantas korupsi,positive
"gak sia sia suara saya pak, terima ksih pak semoga indonesia bisa lebih baik",positive
Masya Allah Tabarakallah Alhamdulillah Bapak sehat terus panjang umur berkah selalu aamiin YRA,positive
pak Prabowo  semogasehat selalupanjng umur,positive
SEMOGA BPK PRESIDEN PRABOWO SEHAT SELALU BERJUANG UTK RAKYAT JUGA TERIRING DOA RAKYAT. WASSLMMLKUM,positive
"Saya bangga 3x memilih bapak. Alhamdulillaah Allah takdirkan bapak memimpin Negeri kita tercinta ini, sehat selalu dan panjang umur bapak. Sayang bapak banyak-banyak... InsyaaAllah Indonesia menuju Indonesia Emas seperti yang dicita-citakan bersama. Aamiin yaaRabbalaalamiin",positive
Semoga Sehat pak Prabowo. Saya selalu mendukung dari mencalonkan presiden,positive
Salut buat pak presiden baru kita.se7,positive
"tksh banyak bapak prabowo.lebih perhatian masyarakat terutama banyak masyarakat yang miskin dan susah.dan harga para petani yg bekerja kerja dan sudah tanam dan hasilx sudah ada,haga para petani seluruh indonesia sepertix kakao,kemiri,kopra,fanili,jambu mente, cenkeh,dan juga buah buahan dan segala jenis tanaman,diketahui harga kemiri belum maksimal,dan kerja paling berat,setiap hari jemur matahari harga sedikit,bapak prabowo kami minta harga kemiri harga 150 kg,karna kerja paling berat untuk para petani,supaya bisa penuh tambah ekonomi masyarakat kami,khususx wilaya NTT.kami orang ntt kerjax setengah mati dari dulu,sesampaix kepemerethan jokowi,sedikit baik.kalau prabowo presiden naiklah harga pemerataan indonesia lebih baik lagi,selamat bekkerja bapak prabowo.tksh",positive
Ya Allah berilah pjg umur SHT SHT selalu BPK Prabowo ini Aamiin rakyat syggg BPK,positive
"Saya selaku salah satu masyarakat bapak sangat mengakui jiwa kenegarawan bapak,,,,saya sebagai anak muda merasa bangga  terinspirasi akan jiwa patriot sejati bapak,,,,sehat selalu pak,,,, Indonesia membutuhkan bpk",positive
"Tetap sehat orgbaik yg tulus. Pak prabowo telah selesai dgn dirix, beliau mengejar jabatan semata2 utk kepentingan rakyat bukan lagi mengejar harta dan kekayaan. Bravo bapakku",positive
"Semoga sehat selalu Presiden RI, semoga apa yg bapak cita-citakan tercapai. Indonesia Maju, Adil dan Sejahtera.. Aamiin ya Rabb...",positive
Sehat sehat yah bapak presiden hiduplah lebih lama pak demi rakyat dan bangsamuh inih... kami rakyatmu sllu mndoakan beliau,positive
Paoak insyaallah bisa ewujud Jan Vita cita bapak yg mulia untuk Indonesia amin,positive
Sy salutnya Pak Prabowo berpidato ga pakai teks bisa aja bahkan dia ngucap banyak orang bisa dari negara mana bisa pemikirannya msh tajam salut,positive
Merinding mendengar presiden. RI yag sekarang lebih mementingkan kepentingan rakyat.,positive
Gula mahal ternyata di korupsi smga adanya Pak Prabowo bisa membrantas korupsi di Indonesia tercinta ini,positive
mantab bosque tdk hanya gimik dan pencitraan.,positive
"Ada sebagian kecil dari prajurit tni yg nerusak citra negara tapi Ingat...kalau ingin mencari pemimpin yg benar2 berdarah merah putih , Alternatip yg oaling besar ada di kandang TNI .",positive
Selamat Menjalankan Tugas Pak..Sehat selalu,positive
Hidup lebih lama bapak prabowon... sehat selalu berkah umur pak yaa,positive
Bp Prabowo jangan takut sama jokodok takutlah sama Allah.... usut tuntas fufa yg telah menghina....merendahkan Bp Prabowo + keluarga.... tendang si samsul jadi wapres.,positive
"Pak prabowo 3 periode saya pilih bapak, alhamdulillah sekarang saatnya bapak jadi RI 1...maka kami guru purna tugas pingin nagih janji bapak, akan memberikan tambahan  gaji 2 juta rupiah, ditunggu ya pak....",positive
Kmrn pak presiden praboeo pidatonyaSp yg butuh bantuan buat modAl wa.ajaTo nom GK bs BuatWa.gmn.mau.minta.bantuanya.,positive
Untuk sekarang orang yg syg idolakan d indonesia adalah pak prabowo,positive
Sehat terus Pak Presiden GBU.,positive
Semogah amal jariah untuk pak prabowo dlm membangun indonesia amin,positive
Strategi prabowo menghadirkan program makan gratis anak2 merupakan cemerlang . Negara fokus pd anak2 maka hal negatif lain spt KKN akan otomatis bisa dibersihkan dgn alasan anak2 / ham/ manusia utama .jadi KKN harus mengalah pd anak2 . Dgn sendirinya rakyat akan dilindungi serta anggaran lurus dan bersih . Alasan anak dan rakyat tdk boleh diganggu gugat .alasan tsb pak prabowo brilian top markotop,positive
"Saya penganggum Pak Jokowi, yang kemaren memilih Pak Ganjar karna melihat kesamaan style antara Jokowi dan Ganjar, walaupun mayoritas pemilih Jokowi pindah ke Prabowo karena Gibran di sana dan Pak Jokowi pun di mendukung Pak Prabowo. Pemilu sudah usai, saya tidak akan menjadi orang-orang pembenci, saya berdoa semoga Pak Prabowo bisa melanjutkan hal-hal baik dari Pak Jokowi.",positive
Semoga Bapak Prabowo Presiden RI selalu di beri keshatan serta Umur panjang dan di hindarkan dari orang irang yg akan berniat jahat atau akan berbuat tidak baik ke baoak.,positive
"saya tidak milih pak prabowo tapi saya salut sama langkah yang di ambil pak prabowo,,,,sehat selalu pak, selamay membawa indonesia ke arah yang lebih Maju",positive
Selama scroll tidak ada ujaran kebencian pada presiden kali ini,positive
Seandainya bapak prabowo jadi presidenya dari th 2014 mungkin negara ini akan baik baik saja damai dan sejahtera,positive
Dengan hormat kepada masyrakat kita kawal bpk presiden kita,positive
Semuanya bersatu ketika pak prabowo menjadi presiden. Tidak ada hate spech..,positive
"Terpancar dr wajah PPrabowo orgnya komitmen, tulus, rendah hati  ga neko2.... Semoga Indonesia mjd berdaulat pangan, energi dll",positive
"Mantap, ini sosok presiden yang diharapkan rakyat Indonesia!!!Semoga semua programnya dapat direalisasikan dgn baik, benar dan lancar. Indonesia Kuat Rakyat Sehat dan Sejahtera.",positive
Orang ikhlas  Prabowo Subianto sebelum jadi presiden aja banyak bantu orang,positive
"Terharu ih, bapak segitu sayang sama rakyat indonesi",positive
Doaku yg terbaik untuk bapak Prabowo Subiyanto (R1) semoga Amanah,positive
"yg pnting jujur ikhlas, py konsep,,pinter g pnting apa lg klo pinter ,",positive
Semoga  bapa pesiden  kita pa  parbowo. Sukse  dan sehat  selalu. amin. Yarob balalamin,positive
Sehat terus presidenku...Demi terwujudnya Indonesia Adil dan Makmur...,positive
Kabunet Merah Putih yg dipimpin oleh Jendral ( Purn ) Presiden Prabowo Subianto diridhoi oleh Allah SWT Amiiinn yaa Robbal Alamiiinnn,positive
Jendral ( Purn ) Presiden Prabawo Subianto Allah lah merestui dan meredhoi jadi Presiden Amiiinnn ya Robball Alamiiinnnm,positive
Ayo pak...Anda trah banyumas pertama yg jadi presiden. gasspol tanpa pandang bulu dalam penegakan hukum.  ngga usah takut mau asing aseng atau orang2 pribumi yg merasa terganggu dgn anda akan memusuhi anda..kalo bapak lurus...Tuhan dan rakyat yg lurus akan menjagamu.,positive
"PAK PRABOWO TOLONG BRANTAS SEMUA PARA PENTOLAN KORUPSI,BIAR NEGARA INDONESIA INI BISA LEBIH BAIK LG,",positive
I love you Pak Prabowo,positive
Beliau selalu memikirkan rakyatnyasehat sellu bapak,positive
"Semoga Pak Prabowo dan jajarannya (kecuali Fufufafa dan rombongan) senantiasa diberikan keselamatan, kesehatan, petunjuk, kemudahan dan kesuksesan membawa Bangsa dan Negara menjadi lebih bermoral, bermartabat, makmur, sejahtera dan  maju, aamiin.Untuk Fufufafa dan rombongan, semoga segera di ganti. Pemimpin amoral karbitan Mulyono dan Paman yang tidak layak memimpin  rakyat Indonesia.",positive
"Sehat panjang umur idolaku presidenku aku pendukungmu selalu, dan selalu",positive
"Siap jaga presiden ,",positive
Semoga saja pak prabowo menepati janjinya membrantas koropsi di negeri ini hukum mati aja pak koroptor biyar kapok biar maju kaya cina,positive
Iya betul pak presiden anak2cucu sy susah sklh pun keteteran sy seorang ibu tunggal kerja dinegara jiran dari anak2sy kecil sampe sekarang sy sudah punya cucu 6 sy cuma minta tolong cucu2 sy dibantu untuk sklh biar maju masa depanya pak semoga sehat selalu biar bisa bantu rakyat,positive
"Dulu di 2014 Bapak bilang, ada sesuatu yang hanya bisa saya lakukan ketika saya jadi presiden. Sekarang posisi itu sdh Bapak pegang. Jangan ada siapapun yang menghalangi kewenangan bapak untuk menyampaikan kesejahteraan kepada rakyat. Orang orang yang bermasalah di sekitar bapak dibereskan dulu agar tidak menganggu program.",positive
Semoga presiden baru panjang umur dan sehat sehat selalu Amin,positive
Masya Allah..sehat selalu pak Prabowo Subianto,positive
Presiden Prabowo Terbaik . Cita2mu sangatlah mulih,positive
Gesture nya lebih sopan pak Prabowo drpd pewawancara,positive
presiden pilihanku,positive
mantap presiden kita. Bpk sangat bijaksana  sehat selalu Presiden kita.,positive
Subhanallah sungguh luar biasa yang pak Prabowo Subianto betul betul presiden idaman rakyat Indonesia,positive
"Pak prabowo sudah dilantik jadi presiden RI , kok makan gratis gak serentak ya",positive
"president terbaik selama aku hidup menurut saya gimna tidak,pak prabowo itu ganteng,tegas,gagah,pintar,berwibawa dan kaya raya.daripada donal aku sihh pak prabowo",positive
"Sebuah Tindakan KeadilanAnggota dewan kota Kaohsiung Liu DelinAnggota Dewan Kota Kaohsiung Liu Delin dari Kuomintang berkata, Dewan Kota Kaohsiung akan mendukung pemerintah pusat dalam mengesahkan undang-undang untuk mencegah pengambilan organ hidup-hidup. Ini adalah tindakan keadilan! Kehidupan manusia tidak ternilai harganya, seseorang tidak dapat melanggar prinsip-prinsip kemanusiaan. Menentang pengambilan organ hidup-hidup juga merupakan cara yang diperlukan untuk melindungi kesehatan dan kesejahteraan masyarakat, jadi kami senang melihat penerapan penuh undang-undang tersebut dan Taiwan memiliki pemikiran yang sama dengan negara-negara lain di dunia.”Anggota Dewan Menyerukan Investigasi ke Sumber OrganAnggota dewan kota Kaohsiung Zhang BoyangAnggota Dewan Kota Kaohsiung Zhang Boyang dari Partai Pembangunan Negara Taiwan mengatakan bahwa undang-undang yang menentang pengambilan organ secara paksa adalah gerakan global yang mencakup partai politik, kebangsaan, dan wilayah. Dia menjelaskan bahwa merupakan suatu kehormatan bagi Dewan Kota Kaohsiung untuk mengecam pengambilan organ tubuh secara paksa, dan menjunjung tinggi hak asasi manusia universal. Dia menyerukan kepada seluruh kabupaten dan kota di Taiwan untuk bergabung dalam gerakan ini dengan mengeluarkan undang-undang untuk menghukum mereka yang berpartisipasi dalam pengambilan organ secara paksa.Dia juga mengatakan bahwa masyarakat harus disadarkan akan risiko pergi ke Tiongkok untuk transplantasi organ. Beberapa pasien mengabaikan sumber organ agar dapat segera mendapatkan organ, sehingga menjadi kaki tangan pembunuhan.",positive
"Setuju sama Pak President Prabowo, Kekayaan Negara juga menjadi hak rakyat kecil terutama meringakan beban hidup sehari-hari mereka. Semoga Pak Prabowo dan kabinet nya tetap diberi kesahatan dan pemikiran jernih agar mampu membawa Indonesia menjadi makmur sekaligus mewujudkan keadilan sosial seadil adil nya sebagaimana makna dan pesan sila kelima Pancasila.",positive
Pemimpin yang sangat kejam terhadap pejabat yang korupsi dan sangat sayang terhadap rakyatnya MENYALA BAPAK KUPRABOWO SUBIANTO,positive
Semoga Bpk Presiden Prabowo diberikesehatan dan keselamatan dalam menjalankan amanah UU untuk mensejahterakan Rakyat RI.,positive
MENYALA SELALU PRESIDEN TERBAIKKU,positive
Bapakk sehat selalu,positive
"Saya sangat terharu Dengan pola kebijakan pak prabowo tentang memikirkan rakyat sedalam itu,saya Bangga punya presiden yang cerdas dan perduli rakyat kecil,kita sudah merdeka tapi rakyat masih miskin,itu lah tugas dan PR Prabowo,untuk secepat nya melaksanakan makan geratis,agar gizi2 anak tercukupi dan terpenuhiPak Prabowo",positive
Sabar teman2.Indonesia itu luas n masalahnya kompleks....kt doakn bapak presiden sehat n ttp amanah mndukung rakyat,positive
semoga bapak presiden prabowo dijaga dilindugi ole tuhan amin,positive
Bapak sehat selalu yaaa semoga allah menjaga bapak dimanapun bapak berada aamiin,positive
"31 okt 2024  =Mitos paku bukan legenda tapi sama dengan kakbah mempunyai kitab suci al quran yg diturukan lewat nabi muhammad swt.sedangkan paku dunia diturunkan kesatria paninggit lewat jiwa dan raga ,al quran  sehat jasmani dan rohani. Sistem itu  tp indonesia belum paham maksud dari romo genggong nagi janji.kita bedah sedikit tentang paku dimagelang (GELANG) dibalik gelang ada KALUNG BENDO ,bendo sering dibawah kekarangan/tata/noto/Cahangon dimong semar . Biar semar mesem.ahkir jaman 2045 emas PANCASILA duduk dengan indra sambil minum kopi dan rokok .MANTAP sambil menikmati pemandangan alam semesta",positive
Sehat-sehat ya Pak,positive
PAKK. sehat selalu ya paakk...smoga suatu saat bisa melihat Bapak lgsg :),positive
PAK PRABOWO KU,positive
Saya mau ngucapin selamat buat teman2 yg udh setia dan komit memilih Prabowo dari awal beliau mencalonkan sampe terpilih. Teman2 walau di balik hati kalian gak suka sm Gibran krn turunan Jokowi. Coba teman2 lihat sosok Prabowo yg dahulu sbg rival (lawan kompetitor Jokowi) tapi beliau mau bersatu dgn Jokowi demi rakyat  kepentingan negara. Teman2 yg memilih Prabowo pasti bangga kan krn sudah menang. Tdk d pungkiri kemenangan Prabowo adl support terbesar dr Jokowi dan kehadiran Gibran. Saya berharap teman2 bisa bersatu dan rukun demi negara ini.Salam damai salam NKRI.. Pilpres sdh selesai. Presiden sudah terpilih. Ayo move on!Peace  grateful,positive
Sel amat pagi Pak Prabowo Selamat ya atas terpilihnya bapak dng pendaping MZ Gibran sebagai pendampingnya  maaf bapak sayasukar banget untuk menghubungi bapak kebetulan sekarang baru bisa setelah ada wawancara bersama mbak Rosi pada hari ini intinya cuma satu pak semoga bapak berhasil  dlm memimpin Indonesia ke dua pak saya ingin minta bantuan dr bapak untuk RT UK kehidupan saya saya nama Aniek tye seorang wanita singgel usia 67th dan sekarang hidup .numpang adik saya terima kasih bapak semoga bapak mengabulkan permohonan saya dr elamat pagi salam sehat Sll Gusti memberkati,positive
Sehat selalu bapak prabowosemoga allah selalu melindungi bapak,positive
Ratusan kapal  uda pernah  d bagi bagi kalau cuma mkn gratis ya jelas gampang  la semangat  presiden  kami prabowo subianto,positive
Saya sangat mendukung kebijakan bapak untuk mencerdaskan bangsa dan menuntaskan korupsi di bumi Pertiwi.,positive
"Semoga program pak prabowo lancar aamiin, sesuap nasi itu penting gak semua orang seberuntung itu dapat makan.",positive
Pak Prabowo kerja berat,positive
Allhamdulilah pak presiden sehat sellalu,positive
Luar biasa Pak Presiden Prabowo dan Pak wakil presiden Gibran  konsep perrsatuannya sangat  mantap dan luar biasa,positive
"semoga sehat selalu pak, agar mampu memimpin negara yg besar ini dgn lebih baik...amin",positive
Sehat² terus bapak,positive
Mari kita bangun Indonesia bersama Pak Presiden Prabowo. Dampingi dan Dukung selalu Pak Presiden,positive
"Almarhum Gusdur :1. Suatu saat Prabowo akan jadi presiden dan ditakuti bangsa lain atau luar negeri  2. Amin rais akan jadi gelandangan politik3. MEGAWATI akan jadi orang yang tida bisa menghargai demokrasi (tidak pernah mau datang di acara kenegaraan) megalodon emg harus di waspadai agar tidak menghancurkan negara kita !! Contohnya jokowo harus jadi babu megalodonBiar kata beliau kebetulan tapi ko semua nyata ,hanya alm gusdur dan tuhan lah yg tau rencana kedepannya seperti apa",positive
"Smg Tuhan memberikan kelacaran perjuangan kalian semua sgl kebaikan diperjuangkan dgn semangat selamat rahayu Aammiinn, utk membasmi segala kejahatan yg ada dimuka bumi ini.",positive
"Setelah kita mengantarkan beliau menjadi presiden, mari kita bersama2 ikut andil dalam memajukan indonesia, tentunya juga berdoa dan brusaha sebaik2nya dibidangny masing2.. mari kita tunjukkan kpda dunia mnjadi indonesia emas dan disegani dkancah internasional..  Sehat selalu Jenderalku Presidenku.. Anda hrus berhasil dan menjadi pahlawan bangsa",positive
Dr dl sy tg pak prabowo jd presiddn.. Alhmdllh skrng terkabul.. Amin... Slm nkri slm sht sluruh sodaraku se indonesia..,positive
prabowo orang nyah terang terangan apa ada nyah,positive
Indah pada waktunya bapak presiden kita.... bismillah ya Alloh.... semoga beliau amanah,positive
"Banyaknya kasus penangkapan korupsi berarti prabowo ini dalam ancaman bahaya,mari kita masyarakat harus bersatu buat bangsa dan hukum indonesia bisa adil.",positive
Presiden Prabowo paling terbaik dibanding presiden jokowi yg kurang memperhatikan nasib kesejahtraan rakyat terutama nasib para pensiunan pns yg sllu terpuruk,positive
Ini penggunaan mobil maung juga terobosan luar biasa pak jadi dengan jumlah mentri yg banyak pak Prabowo tidak perlu mengeluarkan biaya yang mahal untuk membeli mobil mercy,positive
Pak Prabowo sudah berada di usia lansia kita doa kan panjang umur Indonesia perlu pemimpin yang tegas pas banget beliau dari militer .....saya berdoa selalu untuk mu semoga berjalan di jalan yang lurus,positive
Luar biasa programe bapak President kita ini mudah2an terealisasi,positive
coba dari 10 tahun yang lalu pak probowo jadi presiden apa tidak menyala indonesia ini,positive
"We Love You Pak Presiden.Semoga Bpk. Prabowo, senantiasa melangkah dalam Lindungan dan Petunjuk Tuhan YME Alloh SWT. Aamiin",positive
Entah mengapa hati ini sangat ikhlas melihat pak Prabowo jadi pemimpin Indonesia.. sehat selalu pak Prabowo,positive
"Selamat Mengabdi Bpk.Probowo...Semoga Sehat Wal Afiat Dan Allah SWT Lancarkan Segala Urusan dan Cita Citanya Untuk Kebaikkan Rakyat Dan Bangsa Indonesia,Aamiin....",positive
"Sebenarnya pak Prabowo ini pemimpin yang tepat ya gak bisa di setir dan beliau juga cukup tegas ya, mungkin kekecewaan rakyat ada pada wakil dan menteri² yang kontroversial",positive
Menarik bgt statement pak prabowo bilang memberantas korupsi salah satunya dengan menggunakan AI.,positive
Selamat malam bapak persiden yg baru  salam walekum matulah wabarokatuk om suatiastu  Namo budaye  nama kami inyoman rupa  asal dari Bali  kabupaten karang asem kecamatan sidemen  desa takutBanjar tabu sirang  bapak persiden yg tehomat  kami  jujur mengatakan  semoga  dalam bapak menjabat  rakyat bisa sejatra  tapi km selaku rakyat belum pernah tersentuh yg namanya batuwan  dari pemerintah  mudah mudahan setelahbapak menjabat  ini bisa adil   yg namanya  rakyat kecil bisa tersentuh yg baik dan benar bapak  sekiyan dari kami  terimakasi,positive
Berkah Pak Presiden RI,positive
Presidenku,positive
Semoga sehat selalu pak prabowo,positive
Sehat selalu presiden ku dari dulu aku mengharapkan pak prabowo jadi presiden dia orangnya tulus sama rakyat indonesia yang kurang beruntung,positive
"Sudah pada titik terbaiknya. Emosi stabil, ambisi yang tidak membara. Titip satu jangan baper sama haters pak, lanjutkan cita2 mulia untuk indonesia",positive
Sukses pak prabowo,positive
Masaaloh tbarokaloh aku bangga punya persiden sperti pak perabowo aku percya insaaloh bpa bkal amanah  semoga bpak sht selalu maju terus pak suxsespnjang umur dilancarkan seglanyah ada dlam lidunga aloh swt amin yrbl alamin,positive
Luar biasa semoga terwujud dan lancar apa yg ditargetkan oleh pak prabowo buat kemakmuran rakyatnya,positive
sehat selalu bpk presiden prabowo semoga rakyat semakin sejahtera,positive
Semoga pak prabowo tidak tergantikan  semangat pak prabowo dan kabinet merah putih,positive
Yg paling ikhlas dg negeri ini beliau pk prabowo,positive
Mntp pk prabowo,positive
Selamat bpk persidenku yang baru bpk prabowo dan masgibran semoga sehat selalu amin yarobal alamin,positive
Jgn lupa pak janji akan guru...,positive
Terakhir aku nangis dengar lagunya Pak  Selamat bertugas Pak Presiden Indonesia,positive
Good job pak Prabowo,positive
berilah aku satu kesempatan  atas seizin Tuhan yang maha esa kesempatan itu di berikan. Selamat bekerja untuk mewujudkan mimpi pak presiden dan mimpi rakyat Indonesia.,positive
sehat slalu presidenku........bp.prabowo....,positive
Aduh pak prabowo terasa bgt klo bapak murni untuk kejayaan bangsa dan isinya,positive
"Bapak Prabowo, Saya rakyat Jelata, makan minum sulit tp sy tdk mau kesulitan untuk  mengaggumimu Bapak dan Wapres Gibran",positive
